,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,City,Population
96,FDF41,12.15,Low Fat,0.131383762,Frozen Foods,246.046,49,1999,Medium,Tier 1,Supermarket Type1,1231.73,Hamilton,747545
97,FDB56,8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,35,2004,Small,Tier 2,Supermarket Type1,3755.112,Ottawa,1323783
98,NCP18,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Low Fat,0.028459761,Household,149.9708,27,1985,Medium,Tier 1,Supermarket Type3,4363.6532,Toronto,2731571
99,FDB56,8.75,Regular,0.07462720099999999,Fruits and Vegetables,187.8556,46,1997,Small,Tier 1,Supermarket Type1,1314.2892,London,383822
100,FDT28,13.3,Low Fat,0.063695084,Frozen Foods,151.0708,45,2002,Small,Tier 1,Supermarket Type1,1805.6496,Kingston,123798
101,FDD10,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Regular,0.045797829000000005,Snack Foods,178.5344,27,1985,Medium,Tier 1,Supermarket Type3,2854.9504,Toronto,2731571
102,FDW57,8.31,Regular,0.11585722300000001,Snack Foods,179.1028,49,1999,Medium,Tier 1,Supermarket Type1,3896.2616,Hamilton,747545
103,DRB48,16.75,Regular,0.024832806000000002,Soft Drinks,38.7822,13,1987,High,Tier 2,Supermarket Type1,667.7974,Brampton,593638
104,FDP09,19.75,Low Fat,0.034027909,Snack Foods,212.0902,18,2009,Medium,Tier 3,Supermarket Type2,3185.853,Missisauga,713443
105,FDH14,17.1,Regular,0.046769599999999995,Canned,141.1838,13,1987,High,Tier 2,Supermarket Type1,2247.7408,Brampton,593638
106,FDA47,10.5,Regular,0.11657670199999999,Baking Goods,163.121,13,1987,High,Tier 2,Supermarket Type1,1794.3310000000001,Brampton,593638
107,FDG12,6.635,Regular,0.0,Baking Goods,121.3098,45,2002,Small,Tier 1,Supermarket Type1,2530.7058,Kingston,123798
108,DRE60,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",low fat,0.278974075,Soft Drinks,225.372,19,1985,Small,Tier 2,Grocery Store,679.1160000000001,Barrie,197059
109,DRK49,14.15,Low Fat,0.035913805,Soft Drinks,41.4138,13,1987,High,Tier 2,Supermarket Type1,812.2760000000001,Brampton,593638
110,FDD03,13.3,Low Fat,0.079806266,Dairy,232.53,46,1997,Small,Tier 1,Supermarket Type1,699.09,London,383822
111,FDS52,8.89,low fat,0.005505481,Frozen Foods,102.4016,17,2007,Small,Tier 2,Supermarket Type1,2732.4432,Windsor,329144
112,FDW39,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Regular,0.064625342,Meat,176.937,19,1985,Small,Tier 2,Grocery Store,176.437,Barrie,197059
113,FDX34,"Item_Type    Baking Goods     Breads  Breakfast     Canned      Dairy  \
Item_Weight     12.277108  11.346936  12.768202  12.305705  13.426069   

Item_Type    Frozen Foods  Fruits and Vegetables  Hard Drinks  \
Item_Weight     12.867061              13.224769    11.400328   

Item_Type    Health and Hygiene  Household       Meat     Others    Seafood  \
Item_Weight           13.142314  13.384736  12.817344  13.853285  12.552843   

Item_Type    Snack Foods  Soft Drinks  Starchy Foods  
Item_Weight     12.98788     11.84746      13.690731  ",Low Fat,0.071636937,Snack Foods,121.7098,27,1985,Medium,Tier 1,Supermarket Type3,4097.3332,Toronto,2731571
114,FDV11,9.1,Regular,0.0,Breads,173.2054,45,2002,Small,Tier 1,Supermarket Type1,3151.8972,Kingston,123798
